Period,New subs,Active,New upgrades,Scheduled upgrades,Completed upgrades,Failed upgrades,Canceled,Payment failed,Expired,Lost,Churn rate,Net new subs,First time payments,Renewal payments,Total payments,Growth rate,"Lost, active at beginning of period"
09/28/2021,6,3723,0,0,0,0,0,2,3,5,0.00134336,1,6,16,22,-0.4,5
09/29/2021,5,3727,0,0,0,0,0,0,1,1,0.0002686,4,5,5,10,-0.16666667,1
09/30/2021,3,3727,0,0,0,0,1,0,2,3,0.00080494,0,3,4,7,-0.4,3
10/01/2021,1,3719,0,0,0,0,3,4,2,9,0.00241481,-8,1,16,17,-0.66666667,9
10/02/2021,2,3719,0,0,0,0,0,0,2,2,0.00053778,0,2,13,15,1,2
10/03/2021,1,3715,0,0,0,0,0,3,2,5,0.00134445,-4,1,6,7,-0.5,5
10/04/2021,6,3718,0,1,0,0,0,1,2,3,0.00080754,3,6,8,14,5,3
10/05/2021,3,3719,0,0,0,0,0,2,0,2,0.00053792,1,3,10,13,-0.5,2
10/06/2021,10,3715,0,0,0,1,10,0,3,14,0.00376445,-4,10,7,17,2.33333333,14
10/07/2021,4,3713,0,0,0,0,2,0,4,6,0.00161507,-2,4,7,11,-0.6,6
10/08/2021,2,3486,0,0,0,0,228,0,1,229,0.0616752,-227,2,7,9,-0.5,229
10/09/2021,3,3486,0,0,0,0,0,0,3,3,0.00086059,0,3,25,28,0.5,3
10/10/2021,0,3482,0,0,0,0,0,1,3,4,0.00114745,-4,0,11,11,-1,4
10/11/2021,2,3481,0,1,0,0,0,0,3,3,0.00086157,-1,2,5,7,,3
10/12/2021,4,3482,1,0,1,0,1,0,1,2,0.00057455,2,4,7,11,1,2
10/13/2021,2,3476,0,0,0,0,0,4,4,8,0.00229753,-6,2,10,12,-0.5,8
10/14/2021,5,3477,0,0,0,0,1,2,1,4,0.00115075,1,5,11,16,1.5,4
10/15/2021,6,3481,0,1,0,0,0,1,1,2,0.00057521,4,6,12,18,0.2,2
10/16/2021,0,3479,0,0,0,0,0,1,1,2,0.00057455,-2,0,11,11,-1,2
10/17/2021,0,3476,0,0,0,0,0,2,1,3,0.00086232,-3,0,14,14,,3
10/18/2021,6,3479,0,0,0,0,0,1,2,3,0.00086306,3,6,6,12,,3
10/19/2021,3,3480,0,0,0,0,1,0,1,2,0.00057488,1,3,13,16,-0.5,2
10/20/2021,4,3478,0,0,0,0,1,0,5,6,0.00172414,-2,4,13,17,0.33333333,6
10/21/2021,2,3477,0,0,0,0,1,0,2,3,0.00086256,-1,2,12,14,-0.5,3
10/22/2021,3,3479,0,0,0,0,0,0,1,1,0.0002876,2,3,12,15,0.5,1
10/23/2021,0,3472,0,0,0,0,0,3,4,7,0.00201207,-7,0,14,14,-1,7
10/24/2021,0,3465,0,0,0,0,0,2,5,7,0.00201613,-7,0,10,10,,7
10/25/2021,1,3461,0,0,0,0,0,1,4,5,0.001443,-4,1,12,13,,5
10/26/2021,2,3460,0,0,0,0,0,2,1,3,0.0008668,-1,2,12,14,1,3
10/27/2021,6,3455,0,0,0,0,0,7,4,11,0.00317919,-5,6,12,18,2,11
10/28/2021,4,3457,0,0,0,0,1,0,1,2,0.00057887,2,4,15,19,-0.33333333,2
10/29/2021,2,3455,0,0,0,0,0,1,3,4,0.00115707,-2,2,11,13,-0.5,4
10/30/2021,1,3449,0,0,0,0,0,2,5,7,0.00202605,-6,1,7,8,-0.5,7
10/31/2021,0,3447,0,2,0,0,0,1,1,2,0.00057988,-2,0,6,6,-1,2
11/01/2021,6,3446,1,0,1,0,1,1,4,6,0.00174064,0,6,13,19,,6
11/02/2021,5,3444,0,0,0,0,0,2,5,7,0.00203134,-2,5,5,10,-0.16666667,7
11/03/2021,7,3442,0,0,0,0,1,2,6,9,0.00261324,-2,7,10,17,0.4,9
11/04/2021,10,3446,1,0,1,0,1,2,2,5,0.00145264,5,10,6,16,0.42857143,5
11/05/2021,1,3441,0,0,0,0,0,2,4,6,0.00174115,-5,1,7,8,-0.9,6
11/06/2021,2,3437,0,0,0,0,0,1,5,6,0.00174368,-4,2,14,16,1,6
11/07/2021,0,3433,0,0,0,0,0,1,3,4,0.00116381,-4,0,5,5,-1,4
11/08/2021,1,3431,0,0,0,0,0,1,2,3,0.00087387,-2,1,7,8,,3
11/09/2021,7,3430,0,0,0,0,2,5,1,8,0.00233168,-1,7,26,33,6,8
